month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202111,massachusetts,ma,625000,-0.0219,-0.0039,8065,-0.1607,-0.2948,43,0.34375,-0.113402062,5452,-0.2247,-0.074,124,-0.2619,-0.4259,2060,-0.3022,-0.2685,3258,-0.1012,-0.634,367.4101833,0.0045,0.0496,1695.5,-0.0102,-0.0469,1123707.026,0.0077,0.0111,11323,-0.1444,-0.4433,0.403967762,0.0267,-0.3743,1
202111,missouri,mo,244900,0.0082,0.1132,10685,-0.0704,-0.1764,50,0.086956522,-0.122807018,5772,-0.1477,0.0198,204,-0.2714,-0.3462,2688,-0.1775,-0.1775,12710,-0.0573,-0.0619,138.0444005,0.0161,0.1577,1728,-0.0023,-0.0593,347148.1443,0.0053,0.0741,23395,-0.0633,-0.1179,1.189518016,0.0165,0.1452,0
202111,pennsylvania,pa,259900,-0.0192,-0.0209,19970,-0.0818,-0.1217,54,0.08,-0.060869565,10484,-0.1703,0.1013,600,0.145,0.2097,6136,-0.2072,-0.0039,22159,-0.0361,-0.0089,156.7773437,-0.0055,0.0573,1680,-0.0094,-0.0646,383766.7705,-0.0025,-0.0261,42129,-0.0583,-0.0658,1.109614422,0.0526,0.1263,0
202111,mississippi,ms,235000,-0.0167,0.0387,4136,-0.0706,-0.3144,40.5,0.35,-0.487341772,1660,-0.17,-0.0326,64,-0.36,-0.6,844,-0.1594,-0.1457,4413,-0.0458,0.1724,112.1756377,-0.0102,0.0612,2006,0.002,-0.0349,327549.197,0.011,0.0972,8549,-0.058,-0.1274,1.066972921,0.0276,0.4431,0
202111,idaho,id,534500,-0.0009,0.1919,4202,-0.1712,0.6249,48.5,0.127906977,0.021052632,2172,-0.2003,0.4519,80,-0.3333,-0.7059,1376,-0.4748,2.6596,5163,-0.0599,0.0808,269.9588017,0.0009,0.2005,2122,0.0062,-0.0176,826072.2198,-0.0799,-0.063,9365,-0.1133,0.2719,1.228700619,0.1455,-0.6186,1
202111,west virginia,wv,179900,0,0.0617,3200,-0.0217,-0.2516,63,0.06779661,-0.192307692,1276,-0.0506,0.0633,68,1.125,0.7,716,-0.0914,-0.1435,2685,-0.0462,-0.0129,103.7371803,0.0014,0.1181,1732.5,0.0003,-0.0242,267581.2119,0.011,0.074,5885,-0.033,-0.1588,0.8390625,-0.0215,0.203,0
202111,wisconsin,wi,286185,0.0407,0.0801,8287,-0.2325,-0.1681,51.5,0.119565217,-0.096491228,4052,-0.3071,0.0181,68,-0.2917,-0.5,2176,-0.3555,-0.1154,8801,-0.0019,-0.0325,162.0545213,0.0431,0.1171,1698,-0.0151,-0.0407,379262.4761,0.0373,0.041,17088,-0.1289,-0.1034,1.062024858,0.2454,0.1489,0
202111,south dakota,sd,279700,-0.0007,0.1613,1862,-0.0828,-0.1505,44.5,0.034883721,-0.212389381,712,-0.2089,0.2192,32,0,7,160,-0.4444,-0.3333,803,-0.0844,0.0139,162.8790763,0.0188,0.2296,1731,-0.012,-0.0673,376540.1737,0.0252,0.1909,2665,-0.0832,-0.1069,0.431256713,-0.0008,0.0699,0
202111,ohio,oh,189950,-0.0455,-0.0407,15193,-0.066,-0.0966,43,0.048780488,-0.022727273,10104,-0.1099,0.143,520,-0.1824,0.3978,5512,-0.2067,-0.0745,20504,-0.0663,-0.025,116.6686528,-0.0195,0.0617,1634,-0.0186,-0.0674,285316.5376,-0.0196,-0.0299,35697,-0.0662,-0.0568,1.34956888,-0.0005,0.099,0
202111,nebraska,ne,257250,0.0148,0.0721,2648,-0.0458,-0.174,44.5,0.085365854,-0.175925926,1460,-0.2348,-0.0082,36,-0.4375,-0.625,584,-0.1609,0,3949,-0.066,-0.0514,138.6315374,0.0197,0.1235,1872.5,-0.0176,-0.0505,341987.3301,0.0161,0.1182,6597,-0.058,-0.1048,1.491314199,-0.0323,0.1928,0
